numberOfDeploymentConfigurations	infrastructureCount	solvingDurationProcess	finalSystemCpuTime	finalUserCpuTime	initialSystemCpuTime	initialUserCpuTime	deltaSystemCpuTime	deltaUserCpuTime	totalExecutionDuration	threadMemoryConsumption
5000	125	17.635103	1.95515003E10	1.94499994E10	6.8559469E8	6.6E8	1.88659057E10	1.87899986E10	0.0	5.4446899E8
5000	125	16.734316	3.690179E10	3.6790002E10	1.95727319E10	1.94700001E10	1.73290578E10	1.73200015E10	0.0	5.4604186E8
5000	125	16.627153	5.3906973E10	5.3789999E10	3.6902707E10	3.6790002E10	1.70042655E10	1.69999974E10	0.0	5.4623846E8
5000	125	17.010754	7.1302103E10	7.1180001E10	5.3907689E10	5.3789999E10	1.73944136E10	1.73900022E10	0.0	5.470249E8
5000	125	16.004177	8.7662567E10	8.7539999E10	7.1303029E10	7.1180001E10	1.63595387E10	1.63599974E10	0.0	5.4709043E8
5000	125	16.990574	1.04941396E11	1.04819999E11	8.7663378E10	8.7539999E10	1.72780175E10	1.728E10	0.0	5.4715597E8
5000	125	15.40717	1.20642961E11	1.20519999E11	1.04942248E11	1.04819999E11	1.57007135E10	1.57000008E10	0.0	5.4754918E8
5000	125	16.093649	1.37018827E11	1.36900002E11	1.20643625E11	1.20519999E11	1.63752018E10	1.63800023E10	0.0	5.4761472E8
5000	125	15.272958	1.52584946E11	1.52460001E11	1.37019564E11	1.36900002E11	1.55653816E10	1.55599995E10	0.0	5.4761472E8
5000	125	16.843239	1.69699672E11	1.69580003E11	1.52585585E11	1.52460001E11	1.71140874E10	1.7120002E10	0.0	5.4768026E8
5000	125	15.560009	1.85545146E11	1.85420005E11	1.69700344E11	1.69580003E11	1.58448026E10	1.5840002E10	0.0	5.4787686E8
5000	125	16.288961	2.02109944E11	2.01989997E11	1.85545654E11	1.85420005E11	1.65642895E10	1.65699912E10	0.0	5.4833562E8
5000	125	15.515982	2.1792809E11	2.17799999E11	2.02110599E11	2.01989997E11	1.58174904E10	1.58100029E10	0.0	5.4840115E8
5000	125	15.603718	2.33847423E11	2.33720005E11	2.17928696E11	2.17799999E11	1.59187272E10	1.59200051E10	0.0	5.4846669E8
5000	125	16.440115	2.50551763E11	2.50429997E11	2.33848078E11	2.33720005E11	1.67036846E10	1.67099924E10	0.0	5.4872883E8
5000	125	15.370713	2.66211508E11	2.66090004E11	2.50552877E11	2.50429997E11	1.56586312E10	1.56600074E10	0.0	5.4872883E8
5000	125	16.402285	2.82884145E11	2.82759987E11	2.66212114E11	2.66090004E11	1.66720307E10	1.66699827E10	0.0	5.488599E8
5000	125	15.270347	2.9843492E11	2.98310009E11	2.82884899E11	2.82759987E11	1.55500216E10	1.55500216E10	0.0	5.4931866E8
5000	125	16.289524	3.1498607E11	3.14860012E11	2.98435674E11	2.98310009E11	1.65503959E10	1.65500027E10	0.0	5.4931866E8
5000	125	15.674733	3.3096745E11	3.30840015E11	3.14986725E11	3.14860012E11	1.59807242E10	1.59800033E10	0.0	5.4938419E8
5000	125	23.19016	3.54454602E11	3.54319991E11	3.3096817E11	3.30840015E11	2.34864312E10	2.34799759E10	0.0	5.4944973E8
5000	125	17.813974	3.72574781E11	3.72440007E11	3.54455257E11	3.54319991E11	1.81195244E10	1.81200159E10	0.0	5.4964634E8
5000	125	23.229424	3.96036407E11	3.95899994E11	3.72575502E11	3.72440007E11	2.3460905E10	2.34599875E10	0.0	5.4964634E8
5000	125	23.65612	4.20002857E11	4.19859988E11	3.96037063E11	3.95899994E11	2.39657943E10	2.39599944E10	0.0	5.4984294E8
5000	125	21.704393	4.42027016E11	4.41890013E11	4.20003676E11	4.19859988E11	2.202334E10	2.20300247E10	0.0	5.4984294E8
5000	125	20.43676	4.62741504E11	4.62589985E11	4.42027704E11	4.41890013E11	2.07137997E10	2.06999716E10	0.0	5.4990848E8
5000	125	21.576561	4.84622336E11	4.84469998E11	4.62742094E11	4.62589985E11	2.18802422E10	2.18800128E10	0.0	5.5003955E8
5000	125	19.549051	5.0448053E11	5.0432E11	4.84623122E11	4.84469998E11	1.9857408E10	1.98500024E10	0.0	5.5003955E8
5000	125	23.15016	5.2790621E11	5.27750005E11	5.04481251E11	5.0432E11	2.34249585E10	2.34300047E10	0.0	5.5017062E8
5000	125	22.358763	5.5059402E11	5.5042998E11	5.27907062E11	5.27750005E11	2.26869576E10	2.2679978E10	0.0	5.503017E8
5000	125	23.868753	5.7474535E11	5.7458E11	5.5059461E11	5.5042998E11	2.41507369E10	2.4150016E10	0.0	5.503017E8
5000	125	27.364347	6.0237506E11	6.0220998E11	5.7474646E11	5.7458E11	2.76286013E10	2.76299776E10	0.0	5.5069491E8
5000	125	24.458784	6.2715652E11	6.2698999E11	6.0237552E11	6.0220998E11	2.47809966E10	2.47800136E10	0.0	5.5069491E8
5000	125	24.02744	6.5145091E11	6.5127999E11	6.2715711E11	6.2698999E11	2.4293802E10	2.42900009E10	0.0	5.5069491E8
5000	125	19.979012	6.7175593E11	6.7158999E11	6.5145137E11	6.5127999E11	2.03045601E10	2.03099996E10	0.0	5.5076045E8
5000	125	21.114622	6.9315251E11	6.9298002E11	6.7175639E11	6.7158999E11	2.13961277E10	2.13900329E10	0.0	5.5076045E8
5000	125	21.870962	7.1533088E11	7.1516003E11	6.931531E11	6.9298002E11	2.21777756E10	2.21800038E10	0.0	5.5082598E8
5000	125	23.69831	7.3929012E11	7.3911999E11	7.1533147E11	7.1516003E11	2.39586509E10	2.39599616E10	0.0	5.5082598E8
5000	125	22.043674	7.6179217E11	7.6157E11	7.3929078E11	7.3911999E11	2.25013924E10	2.24500122E10	0.0	5.5082598E8
5000	125	20.763552	7.8292543E11	7.8271001E11	7.6179328E11	7.6158003E11	2.11321487E10	2.1129986E10	0.0	5.5102259E8
5000	125	18.218763	8.0161604E11	8.0139E11	7.8292602E11	7.8271001E11	1.86900152E10	1.86799882E10	0.0	5.5102259E8
5000	125	24.191647	8.2606024E11	8.2583001E11	8.0161656E11	8.0139E11	2.44436828E10	2.44400128E10	0.0	5.5102259E8
5000	125	21.326664	8.4766536E11	8.4743003E11	8.2606083E11	8.2583001E11	2.16045322E10	2.16000102E10	0.0	5.5108813E8
5000	125	18.14522	8.6608282E11	8.6585003E11	8.4766589E11	8.4743999E11	1.84169267E10	1.84100454E10	0.0	5.5115366E8
5000	125	20.622995	8.8697366E11	8.8673E11	8.6608341E11	8.6585003E11	2.08902554E10	2.08799662E10	0.0	5.5115366E8
5000	125	20.827345	9.0806655E11	9.0782001E11	8.8697425E11	8.8673E11	2.10923028E10	2.10900091E10	0.0	5.5135027E8
5000	125	16.922531	9.2536819E11	9.2512E11	9.0806714E11	9.0782001E11	1.73010452E10	1.72999967E10	0.0	5.5135027E8
5000	125	17.867428	9.4355954E11	9.4330998E11	9.2536865E11	9.2512E11	1.81908931E10	1.81899756E10	0.0	5.5135027E8
5000	125	17.986244	9.6181944E11	9.6157001E11	9.4356007E11	9.4330998E11	1.82593782E10	1.82600335E10	0.0	5.5167795E8
5000	125	16.89128	9.7901072E11	9.7875997E11	9.6181984E11	9.6157001E11	1.71908792E10	1.71899617E10	0.0	5.5167795E8
